,restaurante,seccion,platos,precios,platos_lower,seccion_lower,Categorias
7,Boho Bar,Compartir... o no?,"Primavera Thai (3 uds.) Rollitos de verduras, salsa sweet chili thai","9,5 €","primavera thai (3 uds.) rollitos de verduras, salsa sweet chili thai",compartir... o no?,None
8,Boho Bar,Compartir... o no?,"Huevos rotos con patatas, trufa, foie y jamón",12 €,"huevos rotos con patatas, trufa, foie y jamón",compartir... o no?,None
9,Boho Bar,Ensaladas - Zona Fresh :),Salmorejo (Jamón y huevo),"7,9 €",salmorejo (jamón y huevo),ensaladas - zona fresh :),Ensalada
10,Boho Bar,Ensaladas - Zona Fresh :),"Tabuleh (Cous-cous, queso feta, verduritas y cilantro)","9,5 €","tabuleh (cous-cous, queso feta, verduritas y cilantro)",ensaladas - zona fresh :),Ensalada
11,Boho Bar,Ensaladas - Zona Fresh :),"Rojo Pasión (Tomate, fresas, rúcula y aguacate)","9,5 €","rojo pasión (tomate, fresas, rúcula y aguacate)",ensaladas - zona fresh :),Ensalada
12,Boho Bar,Ensaladas - Zona Fresh :),"Timbal de langostinos (Espinacas, quinoa, frutos secos, vinagreta de mostaza y miel)",12 €,"timbal de langostinos (espinacas, quinoa, frutos secos, vinagreta de mostaza y miel)",ensaladas - zona fresh :),Ensalada
13,Boho Bar,Pizza y Pasta,"La Perla del Caribe (2 uds) Arepas venezolanas, ropavieja cubana, mahonesa Thai y cilantro","12,5 €","la perla del caribe (2 uds) arepas venezolanas, ropavieja cubana, mahonesa thai y cilantro",pizza y pasta,Pizza
14,Boho Bar,Pizza y Pasta,Canelones de Rabo de Toro con bechamel de parmesano,"14,5 €",canelones de rabo de toro con bechamel de parmesano,pizza y pasta,Pizza
15,Boho Bar,Pizza y Pasta,Coca Pizza de setas y trufa o de jamón,"12,5 €",coca pizza de setas y trufa o de jamón,pizza y pasta,Pizza
16,Boho Bar,Pizza y Pasta,"Pad Thai (Wok de Noodles, langostinos. pollo y cilantro)","12,9 €","pad thai (wok de noodles, langostinos. pollo y cilantro)",pizza y pasta,Pizza
17,Boho Bar,Sabor a Mar,"Koh Phi Phi Prawns (langostinos, curry thai, coco, piña y arroz jazmín)",14 €,"koh phi phi prawns (langostinos, curry thai, coco, piña y arroz jazmín)",sabor a mar,Postres
18,Boho Bar,Sabor a Mar,Tartar de atún al estilo Boho (con aguacate y tartar de tomate),15 €,tartar de atún al estilo boho (con aguacate y tartar de tomate),sabor a mar,Postres
19,Boho Bar,Sabor a Mar,"Chipirones Umami (Pisto, causa limeña-ibicenca de frutos del bosque y piña asada con salsa Kabayaki)","14,5 €","chipirones umami (pisto, causa limeña-ibicenca de frutos del bosque y piña asada con salsa kabayaki)",sabor a mar,Postres
20,Boho Bar,Sabor a Mar,"Akana Poke Bowl (Salmón marinado, verduritas, arroz sushi-zu)","13,5 €","akana poke bowl (salmón marinado, verduritas, arroz sushi-zu)",sabor a mar,Pescado
21,Boho Bar,Sabor a Mar,"Salmón Teriyaki (en Costra de sésamo, quinoa, verduritas y frutos rojos)","13,5 €","salmón teriyaki (en costra de sésamo, quinoa, verduritas y frutos rojos)",sabor a mar,Pescado
22,Boho Bar,Sabor a Mar,Pulpo a la parrilla con papas arrugás y pimentón de la Vera,16 €,pulpo a la parrilla con papas arrugás y pimentón de la vera,sabor a mar,Marisco
23,Boho Bar,Carnes,"Twister Boho Burger con rulo de cabra, pesto Rosso y tornado de patata","12,5 €","twister boho burger con rulo de cabra, pesto rosso y tornado de patata",carnes,Hamburguesa
24,Boho Bar,Carnes,"Kofta (Albóndigas persas lacadas en Teriyaki de miel de flores, cous cous cítrico y salsa Tzatziki)","13,5 €","kofta (albóndigas persas lacadas en teriyaki de miel de flores, cous cous cítrico y salsa tzatziki)",carnes,None
25,Boho Bar,Carnes,Tataki de Presa Ibérica con migas Japo-Extremeñas,16 €,tataki de presa ibérica con migas japo-extremeñas,carnes,Carne
26,Boho Bar,Carnes,Pollo Tikka Massala con arroz Pilaw,"13,5 €",pollo tikka massala con arroz pilaw,carnes,Pollo
27,Boho Bar,Carnes,"Katxopo-Katsu (Cachopín de ternera, jamón y queso y papas arrugás con mojo canario)",15 €,"katxopo-katsu (cachopín de ternera, jamón y queso y papas arrugás con mojo canario)",carnes,Carne
28,Boho Bar,Carnes,"Tacos Bulgogi (4 uds.) Asado de costilla Ibérica, BBQ Coreana y cilantro",13 €,"tacos bulgogi (4 uds.) asado de costilla ibérica, bbq coreana y cilantro",carnes,Carne
29,Boho Bar,Postres,"Full Moon Party (Gofre de choco-dulce de leche, helado de algodón de azúcar y Peta Zetas)",6 €,"full moon party (gofre de choco-dulce de leche, helado de algodón de azúcar y peta zetas)",postres,Postres
30,Boho Bar,Postres,"Flower Power (Senillas de chía, yogurt y frutos rojos)","5,5 €","flower power (senillas de chía, yogurt y frutos rojos)",postres,Postres
31,Boho Bar,Postres,Original Brownie con helado de Vainilla,"5,5 €",original brownie con helado de vainilla,postres,Postres
32,Boho Bar,Postres,Boho Carrot Cake con coko rallado,"5,5 €",boho carrot cake con coko rallado,postres,Postres
33,Boho Bar,Postres,"Leche, Cacao y Galletas (Crema de galleta, helado de leche fresca y espuma de cacao)","5,5 €","leche, cacao y galletas (crema de galleta, helado de leche fresca y espuma de cacao)",postres,Postres
34,Boho Bar,Postres,Bohemian Cheesecake,"5,5 €",bohemian cheesecake,postres,Postres
35,Boho Bar,Postres,Coulant au Chocolat con helado de violetas,6 €,coulant au chocolat con helado de violetas,postres,Postres
36,Boho Bar,Postres,Sorbetes y Helados,5 €,sorbetes y helados,postres,Postres
37,Boho Bar,seccion_bebidas,Botella de champán,36 €,botella de champán,seccion_bebidas,None
38,Boho Bar,seccion_bebidas,Café,"1,7 €",café,seccion_bebidas,None
39,Boho Bar,seccion_bebidas,Media botella de agua,2 €,media botella de agua,seccion_bebidas,None
40,Boho Bar,seccion_bebidas,Botella de vino,15 €,botella de vino,seccion_bebidas,None
41,Boho Bar,seccion_bebidas,Copa de vino,3 €,copa de vino,seccion_bebidas,None
