,restaurante,seccion,platos,precios,platos_lower,seccion_lower,Categorias
8,Mal de Amores,Sugerencia maldeamores,Saquitos de morcilla con piñones y reineta,9 €,saquitos de morcilla con piñones y reineta,sugerencia maldeamores,Entrantes
9,Mal de Amores,Sugerencia maldeamores,Croquetas mar y tierra elaboradas con jamón ibérico y bacalao,"8,5 €",croquetas mar y tierra elaboradas con jamón ibérico y bacalao,sugerencia maldeamores,Entrantes
10,Mal de Amores,Sugerencia maldeamores,Berenjenas rebozadas con miel de caña o salmorejo,"8,5 €",berenjenas rebozadas con miel de caña o salmorejo,sugerencia maldeamores,De la huerta
11,Mal de Amores,Especiallidad maldeamores,Ceviche de corvina,"11,5 €",ceviche de corvina,especiallidad maldeamores,Pescado
12,Mal de Amores,Ensaladas,"Rulo de cabra con nueces, mahonesa de miel y mostaza","11,5 €","rulo de cabra con nueces, mahonesa de miel y mostaza",ensaladas,Ensalada
13,Mal de Amores,Ensaladas,Ensalada de gambas con espinacas y tomate deshidratado,"12,5 €",ensalada de gambas con espinacas y tomate deshidratado,ensaladas,Ensalada
14,Mal de Amores,Ensaladas,Ensalada de pollo con vinagreta de frutos rojos y cítricos con grissini de aceite de romero,11 €,ensalada de pollo con vinagreta de frutos rojos y cítricos con grissini de aceite de romero,ensaladas,Ensalada
15,Mal de Amores,Arroces,Arroz caldoso con pulpo y cola de langostinos,"15,5 €",arroz caldoso con pulpo y cola de langostinos,arroces,Sopa
16,Mal de Amores,Arroces,Arroz con secreto y verduras,"12,5 €",arroz con secreto y verduras,arroces,Arroces
17,Mal de Amores,Carnes,Solomillo de ternera acompañado con mermelada de higos,"17,5 €",solomillo de ternera acompañado con mermelada de higos,carnes,Carne
18,Mal de Amores,Carnes,Pluma de ibérico a la plancha con papa y mojo,"13,5 €",pluma de ibérico a la plancha con papa y mojo,carnes,None
19,Mal de Amores,Carnes,Carrillada de ternera estofada sobre crema de puerros,"12,5 €",carrillada de ternera estofada sobre crema de puerros,carnes,Carne
20,Mal de Amores,Carnes,Hamburguesa la flaca,"11,5 €",hamburguesa la flaca,carnes,Hamburguesa
21,Mal de Amores,Carnes,Hamburguesa la nena,"10,5 €",hamburguesa la nena,carnes,Hamburguesa
22,Mal de Amores,Pescados,Bacalao confitado sobre pipirrada,14 €,bacalao confitado sobre pipirrada,pescados,Pescado
23,Mal de Amores,Pescados,Pez mantequilla al estilo maldeamores,"16,5 €",pez mantequilla al estilo maldeamores,pescados,Pescado
24,Mal de Amores,Postres,Tarta de zanahoria,"6,5 €",tarta de zanahoria,postres,Postres
25,Mal de Amores,Postres,Crema mascarpone con mermelada de fresa,6 €,crema mascarpone con mermelada de fresa,postres,Postres
26,Mal de Amores,Postres,Coulant de chocolate con helado de vainilla,6 €,coulant de chocolate con helado de vainilla,postres,Postres
27,Mal de Amores,Postres,Canutillos de hojaldre rellenos de crema pastelera,6 €,canutillos de hojaldre rellenos de crema pastelera,postres,Postres
28,Mal de Amores,Postres,Flan de queso con arándanos,5 €,flan de queso con arándanos,postres,Postres
29,Mal de Amores,Helados,Chicle,"5,5 €",chicle,helados,Postres
30,Mal de Amores,Helados,Violeta,"5,5 €",violeta,helados,Postres
31,Mal de Amores,seccion_bebidas,Botella de champán,38 €,botella de champán,seccion_bebidas,None
32,Mal de Amores,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
33,Mal de Amores,seccion_bebidas,Media botella de agua,"2,5 €",media botella de agua,seccion_bebidas,None
34,Mal de Amores,seccion_bebidas,Botella de vino,"12,5 €",botella de vino,seccion_bebidas,None
35,Mal de Amores,seccion_bebidas,Copa de vino,"2,5 €",copa de vino,seccion_bebidas,None
0,Morgana,PETISCOS,TOMATES MARINADOS IIIª PARTE,"10,5 €",tomates marinados iiiª parte,petiscos,None
1,Morgana,PETISCOS,TOSTA DE SARDINA AHUMADA,12 €,tosta de sardina ahumada,petiscos,Pescado
2,Morgana,PETISCOS,VIEIRA MEX,14 €,vieira mex,petiscos,Marisco
3,Morgana,PETISCOS,CROQUETAS CASERAS,9 €,croquetas caseras,petiscos,Entrantes
4,Morgana,GALICIA EN 3 PLATOS,EMPANADA artesana del día,8 €,empanada artesana del día,galicia en 3 platos,None
5,Morgana,GALICIA EN 3 PLATOS,TORTILLA,9 €,tortilla,galicia en 3 platos,None
6,Morgana,GALICIA EN 3 PLATOS,FILLOA DE COCIDO y emulsión de grel,12 €,filloa de cocido y emulsión de grel,galicia en 3 platos,None
7,Morgana,LONJA CORUÑESA,MERLUZA DEL PINCHO a baja temperatura,19 €,merluza del pincho a baja temperatura,lonja coruñesa,Pescado
8,Morgana,LONJA CORUÑESA,PULPO A LA PLANCHA,20 €,pulpo a la plancha,lonja coruñesa,Marisco
9,Morgana,LONJA CORUÑESA,MEJILLÓN TOM KHA GA,16 €,mejillón tom kha ga,lonja coruñesa,None
10,Morgana,GRANJA GALEGA,RABO DE VACA DESMECHADA,"17,5 €",rabo de vaca desmechada,granja galega,Carne
11,Morgana,GRANJA GALEGA,CROCA ROXA D’OURO,19 €,croca roxa d’ouro,granja galega,None
12,Morgana,GRANJA GALEGA,PICANHA RUBIA GALLEGA (45 días maduración),"17,5 €",picanha rubia gallega (45 días maduración),granja galega,Entrantes
13,Morgana,POSTRE,LA TARTA DE QUESO DE MORGANA,6 €,la tarta de queso de morgana,postre,Postres
14,Morgana,POSTRE,CAÑITAS DO CARBALLIÑO,6 €,cañitas do carballiño,postre,Postres
15,Morgana,POSTRE,CHOCOLATE,"6,5 €",chocolate,postre,Postres
0,Restaurante Arce,Entrante,Humo de abedul para carnes y pescados,10 €,humo de abedul para carnes y pescados,entrante,Entrantes
1,Restaurante Arce,Entrante,Alcachofas rellenas de seta encebollada al gratén de Foie,22 €,alcachofas rellenas de seta encebollada al gratén de foie,entrante,Entrantes
2,Restaurante Arce,Entrante,Seta fresca nacional de temporada,23 €,seta fresca nacional de temporada,entrante,Entrantes
3,Restaurante Arce,Plato,Atún rojo de la almadraba,"35,5 €",atún rojo de la almadraba,plato,None
4,Restaurante Arce,Plato,Carne roja sobre parmentier trufado y salsa de setas,"32,5 €",carne roja sobre parmentier trufado y salsa de setas,plato,None
5,Restaurante Arce,Plato,Nido de mollejas y cigalitas sobre salsa Bearnesa,"27,3 €",nido de mollejas y cigalitas sobre salsa bearnesa,plato,Entrantes
6,Restaurante Arce,Plato,San Pedro con su jardinera de verduras sobre jugo de vainas,"28,9 €",san pedro con su jardinera de verduras sobre jugo de vainas,plato,None
7,Restaurante Arce,Postre,Tarta tatín con helado de mantecado,10 €,tarta tatín con helado de mantecado,postre,Postres
8,Restaurante Arce,Postre,Milhojas de chocolate blanco o negro,10 €,milhojas de chocolate blanco o negro,postre,Postres
9,Restaurante Arce,seccion_bebidas,Botella de champán,55 €,botella de champán,seccion_bebidas,None
10,Restaurante Arce,seccion_bebidas,Copa de champán,9 €,copa de champán,seccion_bebidas,None
11,Restaurante Arce,seccion_bebidas,Café,3 €,café,seccion_bebidas,None
12,Restaurante Arce,seccion_bebidas,Botella de vino,20 €,botella de vino,seccion_bebidas,None
13,Restaurante Arce,seccion_bebidas,Copa de vino,"3,5 €",copa de vino,seccion_bebidas,None
0,RESTAURANTE KRITIKOS,*Reserva de 1 hora y media*,"Viernes, sábado y domingo comida los clientes con reserva deberan abandonar su mesa al haber transcurrido una hora y media. Cualquier duda al respecto contactar con el restaurante previamente.",,"viernes, sábado y domingo comida los clientes con reserva deberan abandonar su mesa al haber transcurrido una hora y media. cualquier duda al respecto contactar con el restaurante previamente.",*reserva de 1 hora y media*,None
1,RESTAURANTE KRITIKOS,Entrante,SPANAKOPITA,"9,5 €",spanakopita,entrante,Entrantes
2,RESTAURANTE KRITIKOS,Entrante,TYRI SAGANAKI,11 €,tyri saganaki,entrante,Entrantes
3,RESTAURANTE KRITIKOS,Entrante,PIKILIA,10 €,pikilia,entrante,Entrantes
4,RESTAURANTE KRITIKOS,Entrante,KYOPOLOU,"7,5 €",kyopolou,entrante,Entrantes
5,RESTAURANTE KRITIKOS,Entrante,PULPO A LA GRIEGA,18 €,pulpo a la griega,entrante,Entrantes
6,RESTAURANTE KRITIKOS,Entrante,ENSALADA MYKONOS,"11,5 €",ensalada mykonos,entrante,Ensalada
7,RESTAURANTE KRITIKOS,Plato,EXOHIKO DE POLLO,14 €,exohiko de pollo,plato,Pollo
8,RESTAURANTE KRITIKOS,Plato,MOUSAKA,14 €,mousaka,plato,None
9,RESTAURANTE KRITIKOS,Plato,PLATO KRITIKOS,17 €,plato kritikos,plato,None
10,RESTAURANTE KRITIKOS,Plato,RAPE ESTILO GRIEGO,"16,5 €",rape estilo griego,plato,Pescado
11,RESTAURANTE KRITIKOS,Plato,PLATO GYROS,"13,5 €",plato gyros,plato,None
12,RESTAURANTE KRITIKOS,Plato,PARRILLADA DE CARNE PARA DOS,29 €,parrillada de carne para dos,plato,None
13,RESTAURANTE KRITIKOS,Postre,YOGURT GRIEGO,"5,5 €",yogurt griego,postre,Postres
14,RESTAURANTE KRITIKOS,Postre,YIAURTOPITA,7 €,yiaurtopita,postre,Postres
15,RESTAURANTE KRITIKOS,Postre,HALVAS,7 €,halvas,postre,Postres
16,RESTAURANTE KRITIKOS,Postre,BAKLAVA,6 €,baklava,postre,Postres
17,RESTAURANTE KRITIKOS,seccion_bebidas,Café,"1,2 €",café,seccion_bebidas,None
18,RESTAURANTE KRITIKOS,seccion_bebidas,Media botella de agua,2 €,media botella de agua,seccion_bebidas,None
19,RESTAURANTE KRITIKOS,seccion_bebidas,Botella de vino,16 €,botella de vino,seccion_bebidas,None
20,RESTAURANTE KRITIKOS,seccion_bebidas,Copa de vino,"2,6 €",copa de vino,seccion_bebidas,None
0,Roostiq,ENTRANTES FRIOS,Tomate pelado aliñado con ajitos,7 €,tomate pelado aliñado con ajitos,entrantes frios,Entrantes
1,Roostiq,ENTRANTES FRIOS,"Ensaladilla rusa con pepinillos, aceitunas, pimiento asado y huevo de codorniz",7 €,"ensaladilla rusa con pepinillos, aceitunas, pimiento asado y huevo de codorniz",entrantes frios,Entrantes
2,Roostiq,ENTRANTES FRIOS,"Ensalada de wakame, salmón marinado, tomate y huevas",14 €,"ensalada de wakame, salmón marinado, tomate y huevas",entrantes frios,Sopa
3,Roostiq,ENTRANTES FRIOS,Sardina ahumada sobre tomate natural rayado (ud),2 €,sardina ahumada sobre tomate natural rayado (ud),entrantes frios,Entrantes
4,Roostiq,ENTRANTES FRIOS,Anchoa de Santoña,2 €,anchoa de santoña,entrantes frios,Entrantes
5,Roostiq,ENTRANTES FRIOS,Jamón ibérico de bellota JOSELITO,23 €,jamón ibérico de bellota joselito,entrantes frios,Entrantes
6,Roostiq,ENTRANTES FRIOS,Tabla de quesos artesanos,23 €,tabla de quesos artesanos,entrantes frios,Entrantes
7,Roostiq,ENTRANTES FRIOS,Tabla de embutidos ibéricos,23 €,tabla de embutidos ibéricos,entrantes frios,Entrantes
8,Roostiq,ENTRANTES FRIOS,Causa limeña de pollo,9 €,causa limeña de pollo,entrantes frios,Entrantes
9,Roostiq,ENTRANTES FRIOS,"Titaina, tomate guisado con pimiento rojo y verde, atún y piñones",9 €,"titaina, tomate guisado con pimiento rojo y verde, atún y piñones",entrantes frios,Entrantes
10,Roostiq,ENTRANTES FRIOS,Ensalada César,12 €,ensalada césar,entrantes frios,Ensalada
11,Roostiq,ENTRANTES FRIOS,"Poke bowl de quinoa, langostinos, aguacate, pepino y vinagreta de curry rojo",14 €,"poke bowl de quinoa, langostinos, aguacate, pepino y vinagreta de curry rojo",entrantes frios,Entrantes
12,Roostiq,ENTRANTES FRIOS,Ceviche de corvina y gamba roja,19 €,ceviche de corvina y gamba roja,entrantes frios,Entrantes
13,Roostiq,ENTRANTES FRIOS,"Tiradito Mixto (corvina, pulpo y gamba roja)",20 €,"tiradito mixto (corvina, pulpo y gamba roja)",entrantes frios,Entrantes
14,Roostiq,ENTRANTES FRIOS,Sardina ahumada sobre base de tomate natural,2 €,sardina ahumada sobre base de tomate natural,entrantes frios,Entrantes
15,Roostiq,ENTRANTES FRIOS,"Ensalada de ahumados, cebolla roja y tartar de tomate",14 €,"ensalada de ahumados, cebolla roja y tartar de tomate",entrantes frios,Postres
16,Roostiq,ENTRANTES CALIENTES,Patatas bravas con alioli y pimentón picante,7 €,patatas bravas con alioli y pimentón picante,entrantes calientes,Entrantes
17,Roostiq,ENTRANTES CALIENTES,Croqueta casera de jamón ibérico,"1,5 €",croqueta casera de jamón ibérico,entrantes calientes,Entrantes
18,Roostiq,ENTRANTES CALIENTES,Bacalao rebozado con alioli suave de azafrán y cúrcuma,12 €,bacalao rebozado con alioli suave de azafrán y cúrcuma,entrantes calientes,Entrantes
19,Roostiq,ENTRANTES CALIENTES,Alitas de pollo estilo Selfie,7 €,alitas de pollo estilo selfie,entrantes calientes,Entrantes
20,Roostiq,ENTRANTES CALIENTES,Fingers de pollo de corral aromatizado con miel de caña y mostaza de Dijon,10 €,fingers de pollo de corral aromatizado con miel de caña y mostaza de dijon,entrantes calientes,Entrantes
21,Roostiq,ENTRANTES CALIENTES,Gambones confitados al ajillo con un toque de guindilla,10 €,gambones confitados al ajillo con un toque de guindilla,entrantes calientes,Entrantes
22,Roostiq,ENTRANTES CALIENTES,Habitas salteadas con sepietas,16 €,habitas salteadas con sepietas,entrantes calientes,Entrantes
23,Roostiq,ENTRANTES CALIENTES,Huevos rotos con jamón ibérico y foie,16 €,huevos rotos con jamón ibérico y foie,entrantes calientes,Entrantes
24,Roostiq,ENTRANTES CALIENTES,Croqueta casera de setas y gambas,"1,5 €",croqueta casera de setas y gambas,entrantes calientes,Entrantes
25,Roostiq,ENTRANTES CALIENTES,Calamar andaluza con mayonesa de albahaca y lima,14 €,calamar andaluza con mayonesa de albahaca y lima,entrantes calientes,Entrantes
26,Roostiq,ENTRANTES CALIENTES,Sepietas a la plancha con salsa Dénia,12 €,sepietas a la plancha con salsa dénia,entrantes calientes,Entrantes
27,Roostiq,ENTRANTES CALIENTES,Verduras de temporada con salsa romescu,14 €,verduras de temporada con salsa romescu,entrantes calientes,Entrantes
28,Roostiq,ENTRANTES CALIENTES,Berenjenas a la andaluza con salsa de miel y mostaza,12 €,berenjenas a la andaluza con salsa de miel y mostaza,entrantes calientes,Entrantes
29,Roostiq,ENTRANTES CALIENTES,Corazones de alcachofa natural con virutas de jamón ibérico y aceite de trufa,14 €,corazones de alcachofa natural con virutas de jamón ibérico y aceite de trufa,entrantes calientes,Entrantes
30,Roostiq,ENTRANTES CALIENTES,Crujiente de langostino,2 €,crujiente de langostino,entrantes calientes,Entrantes
31,Roostiq,ENTRANTES CALIENTES,Pata de pulpo a la brasa con patata morada y pimentón de la Vera,16 €,pata de pulpo a la brasa con patata morada y pimentón de la vera,entrantes calientes,Entrantes
32,Roostiq,SELF FISH,Calamar fresco de playa a la plancha,14 €,calamar fresco de playa a la plancha,self fish,Marisco
33,Roostiq,SELF FISH,"Tartar de salmón y aguacate con sésamo, lima y alga wakame",16 €,"tartar de salmón y aguacate con sésamo, lima y alga wakame",self fish,Postres
34,Roostiq,SELF FISH,"Tartar de atún rojo y aguacate con sésamo, germinados, soja y alga wakame",19 €,"tartar de atún rojo y aguacate con sésamo, germinados, soja y alga wakame",self fish,Postres
35,Roostiq,SELF FISH,Salmón al horno con salsa de cítricos y verduritas,16 €,salmón al horno con salsa de cítricos y verduritas,self fish,Pescado
36,Roostiq,SELF FISH,Corvina a la plancha con salsa de pescado y verduritas,18 €,corvina a la plancha con salsa de pescado y verduritas,self fish,Pescado
37,Roostiq,SELF FISH,Tataki de atún con algas wakame y soja,19 €,tataki de atún con algas wakame y soja,self fish,Sopa
38,Roostiq,SELF MEAT,"Hamburguesa de buey con parmesano, tomate y foie o Clásica",14 €,"hamburguesa de buey con parmesano, tomate y foie o clásica",self meat,Hamburguesa
39,Roostiq,SELF MEAT,"Magret de pato con salsa de ciruelas, kiwi glaseado y pera confitada",18 €,"magret de pato con salsa de ciruelas, kiwi glaseado y pera confitada",self meat,Postres
40,Roostiq,SELF MEAT,"Secreto ibérico con patatas a lo pobre, pimientos de padrón y coulis de miel y trufa",16 €,"secreto ibérico con patatas a lo pobre, pimientos de padrón y coulis de miel y trufa",self meat,None
41,Roostiq,SELF MEAT,Entrecot de vaca vieja con sus patatas fritas y pimientos,19 €,entrecot de vaca vieja con sus patatas fritas y pimientos,self meat,Carne
42,Roostiq,SELF MEAT,Tataki de presa ibérica,19 €,tataki de presa ibérica,self meat,Carne
43,Roostiq,ARROCES Y PAELLAS,Paella valenciana,17 €,paella valenciana,arroces y paellas,Arroces
44,Roostiq,ARROCES Y PAELLAS,"Paella de sepias de playa, rape y alcachofas",18 €,"paella de sepias de playa, rape y alcachofas",arroces y paellas,Arroces
45,Roostiq,ARROCES Y PAELLAS,"Paella de pulpo, setas y foie",18 €,"paella de pulpo, setas y foie",arroces y paellas,Arroces
46,Roostiq,ARROCES Y PAELLAS,Arroz negro,19 €,arroz negro,arroces y paellas,Arroces
47,Roostiq,ARROCES Y PAELLAS,Arroz del senyoret,19 €,arroz del senyoret,arroces y paellas,Arroces
48,Roostiq,ARROCES Y PAELLAS,Fideuá de marisco,19 €,fideuá de marisco,arroces y paellas,Arroces
49,Roostiq,ARROCES Y PAELLAS,Paella de carabineros,24 €,paella de carabineros,arroces y paellas,Arroces
50,Roostiq,ARROCES Y PAELLAS,Paella de bogavante,23 €,paella de bogavante,arroces y paellas,Arroces
51,Roostiq,YOURSELF (Todos caseros),Flan de queso con sirope de tofe,6 €,flan de queso con sirope de tofe,yourself (todos caseros),Postres
52,Roostiq,YOURSELF (Todos caseros),Tarta Árabe,6 €,tarta árabe,yourself (todos caseros),Postres
53,Roostiq,YOURSELF (Todos caseros),Fruta de temporada,4 €,fruta de temporada,yourself (todos caseros),Postres
54,Roostiq,YOURSELF (Todos caseros),Tarta de dulce de leche con helado de turrón,6 €,tarta de dulce de leche con helado de turrón,yourself (todos caseros),Postres
55,Roostiq,YOURSELF (Todos caseros),Brownie de chocolate con helado de vainilla,6 €,brownie de chocolate con helado de vainilla,yourself (todos caseros),Postres
56,Roostiq,YOURSELF (Todos caseros),Bizcocho templado de chocolate blanco y manzana con helado de leche merengada,6 €,bizcocho templado de chocolate blanco y manzana con helado de leche merengada,yourself (todos caseros),Postres
57,Roostiq,YOURSELF (Todos caseros),Cheesecake con fresas confitadas,6 €,cheesecake con fresas confitadas,yourself (todos caseros),Postres
58,Roostiq,YOURSELF (Todos caseros),Torrija de horchata con helado de vainilla,6 €,torrija de horchata con helado de vainilla,yourself (todos caseros),Postres
59,Roostiq,YOURSELF (Todos caseros),Canelón crujiente de manzana con helado (10 minutos),6 €,canelón crujiente de manzana con helado (10 minutos),yourself (todos caseros),Postres
60,Roostiq,YOURSELF (Todos caseros),Sorbete de mango/limón,5 €,sorbete de mango/limón,yourself (todos caseros),Postres
61,Roostiq,YOURSELF (Todos caseros),Helados,4 €,helados,yourself (todos caseros),Postres
62,Roostiq,seccion_bebidas,Botella de champán,29 €,botella de champán,seccion_bebidas,None
63,Roostiq,seccion_bebidas,Copa de champán,7 €,copa de champán,seccion_bebidas,None
64,Roostiq,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
65,Roostiq,seccion_bebidas,Media botella de agua,"2,5 €",media botella de agua,seccion_bebidas,None
66,Roostiq,seccion_bebidas,Botella de vino,16 €,botella de vino,seccion_bebidas,None
67,Roostiq,seccion_bebidas,Copa de vino,"2,5 €",copa de vino,seccion_bebidas,None
0,San Wich,Entrante,"Ceviche (salmón fresco marinado en limón, cebolleta, cilantro y un toque de ají verde)",9 €,"ceviche (salmón fresco marinado en limón, cebolleta, cilantro y un toque de ají verde)",entrante,Entrantes
1,San Wich,Entrante,Gazpacho de Betagarra (sopa fría de remolacha y manzana servida con queso de cabra y germinados de alfalfa),"4,9 €",gazpacho de betagarra (sopa fría de remolacha y manzana servida con queso de cabra y germinados de alfalfa),entrante,Sopa
2,San Wich,Entrante,"Tomare Relleno (tomate de quinoa, aguacate, maíz y albahaca sobre mezcla de lechugas con aceite de cilantro y ají verde)","5,9 €","tomare relleno (tomate de quinoa, aguacate, maíz y albahaca sobre mezcla de lechugas con aceite de cilantro y ají verde)",entrante,Entrantes
3,San Wich,Plato,"Hamburguesa de presa ibérica (presa aromatizada con trufa, queso Idiázabal, cebolla dorada, rúcula, pesto de tomate seco y aceite de trufa)","15,5 €","hamburguesa de presa ibérica (presa aromatizada con trufa, queso idiázabal, cebolla dorada, rúcula, pesto de tomate seco y aceite de trufa)",plato,Hamburguesa
4,San Wich,Plato,"Sandwich de churrasco italiano (pan de la casa, filete de ternera, tomate, aguacate, mayonesa)","8,5 €","sandwich de churrasco italiano (pan de la casa, filete de ternera, tomate, aguacate, mayonesa)",plato,Carne
5,San Wich,Plato,"As Diplomático (ternera, emmental fundido, champiñones salteados y cebolla caramelizada servido en pan de hot-dog)","6,75 €","as diplomático (ternera, emmental fundido, champiñones salteados y cebolla caramelizada servido en pan de hot-dog)",plato,Carne
6,San Wich,Postre,Alfajores,3 €,alfajores,postre,Postres
7,San Wich,Postre,Vasito de mousse de manjar (dulce de leche),"1,5 €",vasito de mousse de manjar (dulce de leche),postre,Postres
8,San Wich,Postre,Vasito de mote con huesillo,"1,5 €",vasito de mote con huesillo,postre,Postres
9,San Wich,seccion_bebidas,Media botella de agua,"1,7 €",media botella de agua,seccion_bebidas,None
10,San Wich,seccion_bebidas,Copa de vino,"2,5 €",copa de vino,seccion_bebidas,None
0,Sr. Ito,Entrantes,Tartar de Atún con aguacate,"14,5 €",tartar de atún con aguacate,entrantes,Postres
1,Sr. Ito,Entrantes,Tartar de Salmón con aguacate,"13,5 €",tartar de salmón con aguacate,entrantes,Postres
2,Sr. Ito,Entrantes,Misoshiru,"4,5 €",misoshiru,entrantes,Entrantes
3,Sr. Ito,Entrantes,Edamame,"5,5 €",edamame,entrantes,Entrantes
4,Sr. Ito,Entrantes,Tori Gyoza,"7,5 €",tori gyoza,entrantes,Entrantes
5,Sr. Ito,Entrantes,Agedashi Tofu,"7,5 €",agedashi tofu,entrantes,Entrantes
6,Sr. Ito,Entrantes,Ensalada Goma Wakame,"6,5 €",ensalada goma wakame,entrantes,Sopa
7,Sr. Ito,Entrantes,Tako Yaki,8 €,tako yaki,entrantes,Entrantes
8,Sr. Ito,Entrantes,Carpaccio de Dorada,10 €,carpaccio de dorada,entrantes,Entrantes
9,Sr. Ito,Comida Coreana,Kimchi,"4,5 €",kimchi,comida coreana,None
10,Sr. Ito,Comida Coreana,Bulgogi,"12,5 €",bulgogi,comida coreana,None
11,Sr. Ito,Comida Coreana,Tallarines de batata,,tallarines de batata,comida coreana,None
12,Sr. Ito,Comida Coreana,Ohcingoh Bokum,"13,5 €",ohcingoh bokum,comida coreana,None
13,Sr. Ito,Comida Coreana,Yukhoe,16 €,yukhoe,comida coreana,None
14,Sr. Ito,Comida Coreana,Jeyuk Bokkeum,"12,5 €",jeyuk bokkeum,comida coreana,None
15,Sr. Ito,Comida Coreana,Dolsot Bibimbap,"12,5 €",dolsot bibimbap,comida coreana,None
16,Sr. Ito,Comida Coreana,Hoedeopbap,"12,5 €",hoedeopbap,comida coreana,None
17,Sr. Ito,Comida Coreana,Kimchi Jjigae,"12,5 €",kimchi jjigae,comida coreana,None
18,Sr. Ito,Comida Coreana,Dakgangjeong,12 €,dakgangjeong,comida coreana,None
19,Sr. Ito,Comida Coreana,Tofu Kimchi,12 €,tofu kimchi,comida coreana,None
20,Sr. Ito,Comida Coreana,Kimchi Bokeumbap,12 €,kimchi bokeumbap,comida coreana,None
21,Sr. Ito,Comida Coreana,Haemul jeon,12 €,haemul jeon,comida coreana,None
22,Sr. Ito,Tallarines,Udon,"12,5 €",udon,tallarines,None
23,Sr. Ito,Tallarines,Kakiage Udon,"13,5 €",kakiage udon,tallarines,None
24,Sr. Ito,Tallarines,Yaki Soba,"13,5 €",yaki soba,tallarines,None
25,Sr. Ito,Tallarines,Yaki Soba con verdura,12 €,yaki soba con verdura,tallarines,None
26,Sr. Ito,Tallarines,Yaki Soba con ternera,"13,5 €",yaki soba con ternera,tallarines,Carne
27,Sr. Ito,Postres,Helado casero de té verde,"3,5 €",helado casero de té verde,postres,Postres
28,Sr. Ito,Postres,Helado casero de judía roja,4 €,helado casero de judía roja,postres,Postres
29,Sr. Ito,Postres,Helado de sésamo negro,"4,5 €",helado de sésamo negro,postres,Postres
30,Sr. Ito,Postres,Sorbete de Yuzu o con cava,6 €,sorbete de yuzu o con cava,postres,Postres
31,Sr. Ito,Sushi Nigiri,Maguro,6 €,maguro,sushi nigiri,Pescado
32,Sr. Ito,Sushi Nigiri,Toro,"9,5 €",toro,sushi nigiri,Pescado
33,Sr. Ito,Sushi Nigiri,Maki Sushi Set,"13,5 €",maki sushi set,sushi nigiri,Pescado
34,Sr. Ito,Sushi Nigiri,Sushi variado,"15,5 €",sushi variado,sushi nigiri,Pescado
35,Sr. Ito,Sushi Nigiri,Sushi especialidad del chef,22 €,sushi especialidad del chef,sushi nigiri,Pescado
36,Sr. Ito,Sushi Nigiri,Sake,5 €,sake,sushi nigiri,Pescado
37,Sr. Ito,Sushi Nigiri,Hamachi,6 €,hamachi,sushi nigiri,Pescado
38,Sr. Ito,Sushi Nigiri,Pez mantequilla,5 €,pez mantequilla,sushi nigiri,Pescado
39,Sr. Ito,Sushi Nigiri,Kaibasira,6 €,kaibasira,sushi nigiri,Pescado
40,Sr. Ito,Sushi Nigiri,Unagi,"6,5 €",unagi,sushi nigiri,Pescado
41,Sr. Ito,Sushi Nigiri,Langostino / Shrimp,,langostino / shrimp,sushi nigiri,Pescado
42,Sr. Ito,Sushi Nigiri,Gunkan Ikura,"6,5 €",gunkan ikura,sushi nigiri,Pescado
43,Sr. Ito,Sushi Nigiri,Gunkan Negi Toro,7 €,gunkan negi toro,sushi nigiri,Pescado
44,Sr. Ito,Nori Makis,Kappa Maki,5 €,kappa maki,nori makis,None
45,Sr. Ito,Nori Makis,Unagi Maki,"7,5 €",unagi maki,nori makis,None
46,Sr. Ito,Nori Makis,Teka Maki,8 €,teka maki,nori makis,None
47,Sr. Ito,Nori Makis,Sake Hoso Maki,7 €,sake hoso maki,nori makis,None
48,Sr. Ito,Nori Makis,Negitoro,"10,5 €",negitoro,nori makis,None
49,Sr. Ito,Temakis,Atún con aguacate,"7,5 €",atún con aguacate,temakis,None
50,Sr. Ito,Temakis,Salmón con huevas,"6,5 €",salmón con huevas,temakis,Pescado
51,Sr. Ito,Temakis,Anguila con pepino,"7,5 €",anguila con pepino,temakis,Pescado
52,Sr. Ito,Uramakis,California Rolls,12 €,california rolls,uramakis,None
53,Sr. Ito,Uramakis,Spicy Atún Roll,14 €,spicy atún roll,uramakis,None
54,Sr. Ito,Uramakis,Alaska Roll,13 €,alaska roll,uramakis,None
55,Sr. Ito,Uramakis,Philadelphia Roll,"13,5 €",philadelphia roll,uramakis,None
56,Sr. Ito,Uramakis,Ebi fry,"13,5 €",ebi fry,uramakis,None
57,Sr. Ito,Uramakis,Salmón Flambeado Roll,14 €,salmón flambeado roll,uramakis,Pescado
58,Sr. Ito,Uramakis,Dragon Roll Flambeado,"14,5 €",dragon roll flambeado,uramakis,None
59,Sr. Ito,Sashimi,Maguro,"13,5 €",maguro,sashimi,None
60,Sr. Ito,Sashimi,Sake,12 €,sake,sashimi,None
61,Sr. Ito,Sashimi,Maguro y Sake,"13,5 €",maguro y sake,sashimi,None
62,Sr. Ito,Sashimi,Pez mantequilla,12 €,pez mantequilla,sashimi,Pescado
63,Sr. Ito,Sashimi,Sashimi variado,"16,5 €",sashimi variado,sashimi,None
